  @relation pacmanfilterDist
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @ATTRIBUTE LegalWest {0, 1}
    @ATTRIBUTE LegalEast {0, 1}
    @ATTRIBUTE LegalNorth {0, 1}
    @ATTRIBUTE LegalSouth {0, 1}
    @ATTRIBUTE GUno {True, False}
    @ATTRIBUTE GDos {True, False}
    @ATTRIBUTE GTres {True, False}
    @ATTRIBUTE GCuatro {True, False}
    @ATTRIBUTE posxGUno NUMERIC 
    @ATTRIBUTE posyGUno NUMERIC
    @ATTRIBUTE posxGDos NUMERIC 
    @ATTRIBUTE posyGDos NUMERIC
    @ATTRIBUTE posxGTres NUMERIC 
    @ATTRIBUTE posyGTres NUMERIC
    @ATTRIBUTE posxGCuatro NUMERIC 
    @ATTRIBUTE posyGCuatro NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}

@data
9,11,1,1,0,0,True,True,False,True,3,4,7,7,5,1,14,4,East
10,11,1,1,0,1,True,True,False,True,3,4,7,8,5,1,14,5,South
10,10,0,1,1,1,True,True,False,True,3,3,7,9,5,1,14,4,East
11,10,1,0,1,1,True,True,False,True,2,3,7,9,5,1,14,5,South
11,9,1,1,1,0,True,True,False,True,1,3,7,8,5,1,14,6,Stop
11,9,1,1,1,0,True,True,False,True,1,4,7,7,5,1,14,7,West
10,9,1,1,1,1,True,True,False,True,1,3,6,7,5,1,14,6,West
9,9,1,1,0,1,True,True,False,True,2,3,6,7,5,1,14,5,West
8,9,1,1,0,1,True,True,False,True,1,3,6,8,5,1,15,5,West
7,9,1,1,0,1,True,True,False,True,2,3,6,9,5,1,15,5,South
7,8,1,1,1,1,True,True,False,True,3,3,6,10,5,1,16,5,South
7,7,1,1,1,0,True,True,False,True,2,3,6,9,5,1,15,5,West
6,7,1,1,1,0,True,True,False,True,2,3,6,9,5,1,14,5,West
5,7,1,1,1,0,True,True,False,True,1,3,6,9,5,1,14,6,West
4,7,1,1,1,0,True,True,False,True,1,4,7,9,5,1,14,6,West
3,7,1,1,1,0,True,True,False,True,1,5,7,9,5,1,14,6,North
3,8,1,1,1,1,True,True,False,True,1,6,7,8,5,1,14,7,East
4,8,1,1,1,1,True,True,False,True,1,5,7,8,5,1,14,7,East
5,8,1,1,1,1,True,True,False,True,1,5,6,8,5,1,14,7,East
6,8,1,1,1,1,True,False,False,True,2,5,3,1,5,1,15,7,East
7,8,1,1,1,1,True,False,False,True,1,5,3,1,5,1,16,7,East
8,8,1,1,1,1,True,False,False,True,1,6,3,1,5,1,17,7,East
9,8,1,1,1,1,True,False,False,True,1,6,3,1,5,1,17,8,South
9,7,1,1,1,1,True,False,False,True,1,7,3,1,5,1,17,7,South
9,6,1,1,1,1,True,False,False,True,2,7,3,1,5,1,18,7,West
8,6,0,1,1,1,True,False,False,True,1,7,3,1,5,1,18,8,Stop
8,6,0,1,1,1,True,False,False,True,1,8,3,1,5,1,18,8,Stop
8,6,0,1,1,1,True,False,False,True,1,8,3,1,5,1,17,8,Stop
8,6,0,1,1,1,True,False,False,True,1,8,3,1,5,1,17,9,Stop
8,6,0,1,1,1,True,False,False,True,1,8,3,1,5,1,17,8,North
8,7,1,1,1,1,True,False,False,True,1,7,3,1,5,1,17,8,North
8,8,1,1,1,1,True,False,False,True,1,7,3,1,5,1,17,8,West
7,8,1,1,1,1,True,False,False,True,2,7,3,1,5,1,17,9,West
6,8,1,1,1,1,True,False,False,True,2,8,3,1,5,1,17,8,West
5,8,1,1,1,1,True,False,False,True,2,7,3,1,5,1,18,8,West
4,8,1,1,1,1,True,False,False,True,2,7,3,1,5,1,17,8,West
3,8,1,1,1,1,True,False,False,True,1,7,3,1,5,1,17,9,West
2,8,1,1,1,1,True,False,False,True,1,6,3,1,5,1,17,9,West
1,8,0,1,1,1,True,False,False,True,1,5,3,1,5,1,17,9,South
1,7,0,1,1,1,True,False,False,True,1,6,3,1,5,1,18,9,South
1,6,0,0,1,1,False,False,False,True,1,1,3,1,5,1,18,8,South
1,5,0,1,1,1,False,False,False,True,1,1,3,1,5,1,18,7,South
1,4,0,1,1,1,False,False,False,True,1,1,3,1,5,1,17,7,South
1,3,0,1,1,0,False,False,False,True,1,1,3,1,5,1,16,7,Stop
1,3,0,1,1,0,False,False,False,True,1,1,3,1,5,1,15,7,East
2,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,16,7,East
3,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,17,7,East
4,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,16,7,East
5,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,15,7,East
6,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,16,7,East
7,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,15,7,East
8,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,15,8,East
9,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,15,9,East
10,3,1,1,1,0,False,False,False,True,1,1,3,1,5,1,15,9,East
11,3,1,0,1,0,False,False,False,True,1,1,3,1,5,1,15,9,Stop
11,3,1,0,1,0,False,False,False,True,1,1,3,1,5,1,15,8,North
11,4,1,0,1,1,False,False,False,True,1,1,3,1,5,1,16,8,North
11,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,15,8,Stop
11,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,15,8,Stop
11,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,15,7,East
12,5,1,1,0,0,False,False,False,True,1,1,3,1,5,1,15,7,East
13,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,15,8,East
14,5,1,1,1,1,False,False,False,True,1,1,3,1,5,1,15,7,East
15,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,16,7,East
16,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,15,7,East
17,5,1,1,0,1,False,False,False,True,1,1,3,1,5,1,16,7,East
18,5,1,0,1,1,False,False,False,True,1,1,3,1,5,1,16,8,Stop
18,5,1,0,1,1,False,False,False,True,1,1,3,1,5,1,16,9,Stop
18,5,1,0,1,1,False,False,False,True,1,1,3,1,5,1,16,8,Stop
18,5,1,0,1,1,False,False,False,True,1,1,3,1,5,1,16,7,North
18,6,0,0,1,1,False,False,False,True,1,1,3,1,5,1,16,8,North
18,7,1,0,1,1,False,False,False,True,1,1,3,1,5,1,16,8,North
18,8,1,0,1,1,False,False,False,True,1,1,3,1,5,1,15,8,West
17,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,15,8,West
16,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,15,8,West
