@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 74\nSize of the tree: 147\n','Number of rules: 96\n','Number of rules: 92\n','Number of rules: 86\n','Number of rules: 81\n','Number of rules: 85\n','Number of rules: 87\n','Number of rules: 83\n','Number of rules: 82\n','Number of rules: 101\n','Number of rules: 78\n','Number of rules: 95\n','Number of rules: 79\n','Number of rules: 84\n','Number of rules: 88\n','Number of rules: 80\n','Number of rules: 76\n','Number of rules: 90\n','Number of rules: 74\n','Number of rules: 89\n','Number of rules: 77\n','Number of rules: 73\n','Number of rules: 91\n','Number of rules: 69\n','Number of rules: 97\n','Number of rules: 93\n','Number of rules: 94\n','Number of rules: 75\n','Number of rules: 72\n','Number of rules: 68\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman-data,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,46,27,0,63.013699,36.986301,0,0.511887,0.168809,0.346406,55.669237,88.976576,159.216532,16148.303787,-15989.087254,2.181048,221.209641,-219.028593,83.639776,1.14575,52.532092,0.866667,13,0.206897,12,0.793103,46,0.133333,2,0.52,0.866667,0.65,0.561774,0.897126,0.63545,0.630137,0.111284,0.888716,0.369863,0.634039,0.630137,0.619002,0.518544,0.797905,0.575653,0.5593,0.630137,0.02,0,0.015625,0,15.625,0,48721,143306,18488,79.452055,40.547945,'Number of leaves: 92\nSize of the tree: 183\n',183,92,92
pacman-data,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,658,74,51,23,0,68.918919,31.081081,0,0.586893,0.158575,0.333437,52.269667,85.599601,161.45541,15075.57107,-14914.115659,2.18183,203.723933,-201.542104,88.821861,1.200295,55.013245,0.6875,11,0.103448,6,0.896552,52,0.3125,5,0.647059,0.6875,0.666667,0.571562,0.858297,0.551354,0.689189,0.100457,0.899543,0.310811,0.683034,0.689189,0.682241,0.588688,0.818336,0.607854,0.63638,0.689189,0.02,0,0.015625,0,15.625,0,54045,143093,18701,78.378378,40,'Number of leaves: 103\nSize of the tree: 205\n',205,103,103
pacman-data,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,658,74,46,28,0,62.162162,37.837838,0,0.49525,0.173946,0.370127,57.280861,94.91549,162.160561,22584.007751,-22421.84719,2.191359,305.189294,-302.997935,79.069097,1.068501,48.759758,0.625,10,0.068966,4,0.931034,54,0.375,6,0.714286,0.625,0.666667,0.584435,0.755927,0.637743,0.621622,0.123457,0.876543,0.378378,0.614155,0.621622,0.615693,0.502345,0.764304,0.555568,0.565304,0.621622,0.019,0,0.015625,0,15.625,0,50657,143093,18701,70.27027,34.594595,'Number of leaves: 96\nSize of the tree: 191\n',191,96,96
pacman-data,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,45,28,0,61.643836,38.356164,0,0.494435,0.175952,0.356991,58.075483,91.785428,158.78985,16156.70102,-15997.91117,2.175203,221.324672,-219.149468,76.144159,1.043071,47.952787,0.625,10,0.087719,5,0.912281,52,0.375,6,0.666667,0.625,0.645161,0.550097,0.77193,0.574074,0.616438,0.106014,0.893986,0.383562,0.619213,0.616438,0.615339,0.509304,0.792207,0.563222,0.539316,0.616438,0.021,0,0.015625,0,15.625,0,46785,143306,18488,78.082192,40.273973,'Number of leaves: 88\nSize of the tree: 175\n',175,88,88
pacman-data,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,40,33,0,54.794521,45.205479,0,0.398502,0.184669,0.390946,60.952868,100.51545,158.78985,20452.517149,-20293.727298,2.175203,280.171468,-277.996264,71.562248,0.980305,45.067268,0.625,10,0.157895,9,0.842105,48,0.375,6,0.526316,0.625,0.571429,0.440391,0.815241,0.590056,0.547945,0.142082,0.857918,0.452055,0.531893,0.547945,0.536666,0.400211,0.766196,0.499529,0.479468,0.547945,0.018,0,0.015625,0,15.625,0,53561,143306,18488,69.863014,33.424658,'Number of leaves: 102\nSize of the tree: 203\n',203,102,102
pacman-data,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,48,25,0,65.753425,34.246575,0,0.54295,0.159882,0.345179,52.771542,88.748298,158.78985,14008.740974,-13849.951124,2.175203,191.900561,-189.725358,86.864493,1.189925,54.704059,0.6875,11,0.087719,5,0.912281,52,0.3125,5,0.6875,0.6875,0.6875,0.599781,0.849781,0.554415,0.657534,0.112082,0.887918,0.342466,0.650574,0.657534,0.652571,0.546948,0.823014,0.603848,0.618577,0.657534,0.016,0.001,0.015625,0,15.625,0,48721,143306,18488,80.821918,36.986301,'Number of leaves: 92\nSize of the tree: 183\n',183,92,92
pacman-data,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,45,28,0,61.643836,38.356164,0,0.488744,0.175007,0.355698,57.719616,91.374709,159.155028,15088.760177,-14929.605149,2.180206,206.695345,-204.515139,78.490482,1.075212,49.316998,0.6,9,0.12069,7,0.87931,51,0.4,6,0.5625,0.6,0.580645,0.468144,0.83046,0.52135,0.616438,0.125009,0.874991,0.383562,0.614812,0.616438,0.611759,0.494772,0.795589,0.56939,0.564059,0.616438,0.016,0,0.015625,0,15.625,0,49689,143306,18488,76.712329,36.712329,'Number of leaves: 94\nSize of the tree: 187\n',187,94,94
pacman-data,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,47,26,0,64.383562,35.616438,0,0.533317,0.172335,0.348599,56.832201,89.539884,159.216532,15081.439476,-14922.222944,2.181048,206.595061,-204.414013,82.546492,1.130774,51.845428,0.666667,10,0.12069,7,0.87931,51,0.333333,5,0.588235,0.666667,0.625,0.521934,0.793103,0.567081,0.643836,0.105591,0.894409,0.356164,0.647583,0.643836,0.641407,0.534903,0.812193,0.61703,0.614325,0.643836,0.016,0.001,0.015625,0,15.625,0,44849,143306,18488,80.821918,41.917808,'Number of leaves: 84\nSize of the tree: 167\n',167,84,84
pacman-data,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,46,27,0,63.013699,36.986301,0,0.507988,0.167098,0.3532,55.105148,90.721705,159.216532,18295.733269,-18136.516736,2.181048,250.626483,-248.445435,81.734695,1.119653,51.335558,0.8,12,0.12069,7,0.87931,51,0.2,3,0.631579,0.8,0.705882,0.625539,0.862069,0.716673,0.630137,0.119355,0.880645,0.369863,0.642845,0.630137,0.626013,0.519233,0.788424,0.608107,0.579034,0.630137,0.016,0.001,0.015625,0,15.625,0,52593,143306,18488,73.972603,36.164384,'Number of leaves: 100\nSize of the tree: 199\n',199,100,100
pacman-data,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190314.1759,659,73,45,28,0,61.643836,38.356164,0,0.505683,0.175792,0.359844,57.972207,92.428359,159.216532,17227.410274,-17068.193742,2.181048,235.991922,-233.810873,79.522601,1.089351,49.946196,0.8,12,0.155172,9,0.844828,49,0.2,3,0.571429,0.8,0.666667,0.575562,0.87069,0.59934,0.616438,0.098259,0.901741,0.383562,0.633615,0.616438,0.612132,0.512921,0.78729,0.564728,0.561204,0.616438,0.015,0,0.015625,0,15.625,0,43397,143306,18488,76.712329,39.178082,'Number of leaves: 81\nSize of the tree: 161\n',161,81,81
