@relation 'pacman-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Remove-R1-2,7-18,23-24,26,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,10'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute distComida numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,1,0,4,2,0,9,-1,4,0,-1,1,-3,-2,8,0,West
1,0,1,1,0,0,0,6,-1,-17,-3,-15,-3,-13,-3,-5,0,West
1,1,1,0,0,0,0,3,-1,-16,-2,-14,-2,-12,-2,-2,0,West
1,1,0,1,0,2,4,10,-1,-7,-3,0,2,3,-1,8,2,West
1,1,0,1,0,4,0,8,-1,-9,-3,-2,2,-5,-3,6,2,West
1,1,1,0,0,4,0,10,-1,-8,-2,-1,3,-4,-2,7,3,West
1,1,1,0,0,9,0,5,-1,-13,-2,-6,3,-9,-2,2,3,West
1,1,1,1,0,10,0,0,-1,-15,-3,-8,2,-11,-3,-9,-3,West
1,1,1,0,0,9,0,0,-1,-13,-2,-6,3,-9,-2,-7,-2,West
1,1,0,1,0,6,0,0,-1,-11,-3,-4,2,-7,-3,-5,-3,West
1,1,0,1,0,4,0,0,-1,-9,-3,-2,2,-5,-3,-3,-3,West
1,1,1,1,0,8,0,0,-1,-13,-3,-6,2,-9,-3,-7,-3,West
1,1,1,1,0,8,0,0,-1,-13,-3,-6,2,-9,-3,-7,-3,West
1,1,1,1,0,8,0,0,-1,-13,-3,-6,2,-9,-3,-7,-3,West
1,1,1,0,0,9,0,0,-1,-13,-2,-6,3,-9,-2,-7,-2,West
1,1,0,1,0,6,0,0,-1,-11,-3,-4,2,-7,-3,-5,-3,West
1,1,1,0,0,4,0,0,-1,-8,-2,-1,3,-4,-2,-2,-2,West
1,1,0,1,0,4,0,0,-1,-5,-3,2,2,-1,-3,1,-3,West
1,1,1,0,0,7,0,0,-1,-3,-2,4,3,1,-2,3,-2,West
1,1,0,1,0,8,0,0,-1,-1,-3,6,2,3,-3,5,-3,West
1,1,1,1,4,4,3,4,3,0,4,-1,3,-1,2,3,2,West
1,1,1,1,4,4,3,5,2,0,4,-1,3,-1,2,3,2,West
1,1,1,1,5,0,3,4,3,-2,3,-1,-6,-1,2,3,2,West
1,1,1,1,4,0,2,2,1,-2,2,0,-7,-1,1,2,1,West
1,1,1,1,2,0,0,0,2,-1,1,0,-8,2,-8,4,-8,West
1,1,1,1,2,0,0,0,1,-1,1,1,-8,3,-8,5,-8,West
1,1,0,1,4,0,0,0,4,-1,-3,1,-9,3,-9,5,-9,West
1,1,1,1,2,0,0,3,1,-1,1,1,-8,3,-8,1,-2,West
1,1,1,1,5,0,0,0,2,-2,3,0,-6,2,-6,4,-6,West
1,1,1,1,4,0,0,0,3,-1,3,1,-6,3,-6,5,-6,West
1,1,1,1,5,0,0,0,4,-1,4,1,-5,3,-5,5,-5,West
1,1,1,1,7,0,0,0,6,-1,6,1,-3,3,-3,5,-3,West
1,1,1,0,8,0,0,0,7,-1,7,1,-2,3,-2,5,-2,West
1,1,1,1,10,0,0,0,7,-5,5,-3,-4,-1,-4,1,-4,West
1,1,1,1,9,0,0,0,6,-4,5,-2,-4,0,-4,2,-4,West
1,1,1,1,8,0,0,0,5,-3,5,-1,-4,1,-4,3,-4,West
1,1,1,1,7,0,0,0,4,-2,5,0,-4,2,-4,4,-4,West
1,1,1,1,6,0,0,0,5,-1,5,1,-4,3,-4,5,-4,West
1,1,1,1,9,0,0,0,6,-5,4,-3,-5,-1,-5,1,-5,West
