@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,16-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R5-8-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L2-weka.filters.unsupervised.attribute.Remove-R9'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute distComida numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,1,1,13,10,0,0,9,-7,-6,-9,1,-6,-10,-4,-10,West
1,1,1,1,12,9,0,0,10,-6,-6,-8,1,-5,-10,-3,-10,West
1,1,1,1,12,9,0,0,11,-5,-7,-8,1,-4,-10,-2,-10,West
1,1,1,1,12,7,0,0,12,-5,-7,-7,0,-3,-10,-1,-10,West
1,1,1,1,10,5,0,0,13,-3,-7,-5,0,-2,-10,0,-10,West
1,1,1,1,8,5,0,0,14,-2,-6,-4,1,-1,-10,1,-10,West
1,1,0,1,9,6,0,0,14,4,-5,-2,4,1,-8,3,-8,West
1,1,1,1,6,10,0,0,13,-1,-5,-4,6,-1,-7,1,-7,West
1,1,1,1,3,11,0,0,17,-1,-2,-2,9,0,-4,2,-4,West
1,1,1,1,0,11,0,0,19,-3,-3,-1,10,1,-3,3,-3,West
1,1,1,1,0,7,0,0,16,-2,-7,-1,6,2,-7,4,-7,West
1,1,1,1,0,9,0,0,9,-8,-8,-7,2,-4,-8,-2,-8,West
1,1,1,1,0,8,0,0,10,-7,-8,-6,2,-3,-8,-1,-8,West
1,1,1,1,0,7,0,0,11,-6,-8,-5,2,-2,-8,0,-8,West
1,1,1,1,0,7,0,0,12,-5,-8,-4,3,-1,-8,1,-8,West
1,1,1,1,0,11,0,0,17,-4,-4,-4,7,0,-4,2,-4,West
1,1,1,1,0,10,0,0,18,-3,-4,-3,7,1,-4,3,-4,West
1,1,1,1,0,8,0,0,19,-2,-4,-2,6,2,-4,4,-4,West
1,1,1,1,0,6,0,0,17,-2,-6,-1,5,2,-6,4,-6,West
1,1,1,1,0,4,0,0,16,-2,-7,-1,3,2,-7,4,-7,West
1,1,1,1,0,4,0,0,17,-1,-7,-1,3,3,-7,5,-7,West
1,1,1,1,0,6,0,0,16,-3,-6,-2,4,1,-6,3,-6,West
1,1,1,1,0,6,0,0,17,-2,-6,-2,4,2,-6,4,-6,West
1,1,1,1,0,4,0,0,15,-3,-7,-1,3,1,-7,3,-7,West
1,1,1,1,8,14,0,0,8,-8,0,-8,6,-8,-5,-6,-5,West
1,1,1,1,7,13,0,0,9,-7,0,-7,6,-7,-5,-5,-5,West
1,1,1,1,6,12,0,0,10,-6,0,-6,6,-6,-5,-4,-5,West
1,1,1,1,5,11,0,0,11,-5,0,-5,6,-5,-5,-3,-5,West
1,1,1,1,4,10,0,0,12,-4,0,-4,6,-4,-5,-2,-5,West
1,1,1,1,3,9,0,0,13,-3,0,-3,6,-3,-5,-1,-5,West
1,1,1,1,2,8,0,0,14,-2,0,-2,6,-2,-5,0,-5,West
1,1,1,1,1,7,0,0,15,-1,0,-1,6,-1,-5,1,-5,West
1,1,1,1,0,7,0,0,13,-6,-6,-2,5,-2,-6,0,-6,West
1,1,1,1,0,6,0,0,14,-5,-6,-1,5,-1,-6,1,-6,West
1,1,1,1,0,4,0,0,12,-6,-9,-2,2,-2,-9,0,-9,West
1,1,1,1,0,4,0,0,12,-7,-10,-3,1,-3,-10,-1,-10,West
1,1,1,1,0,3,0,0,13,-6,-10,-2,1,-2,-10,0,-10,West
1,1,1,1,0,2,0,0,14,-5,-10,-1,1,-1,-10,1,-10,West
1,1,0,0,3,6,13,17,-1,1,-2,6,0,10,-3,15,-1,West
1,1,1,0,0,10,16,16,-1,-1,-2,7,3,14,2,14,3,West
1,1,0,1,0,9,13,13,-1,-5,-3,8,1,12,-1,11,2,West
1,1,0,1,0,10,12,13,-1,-2,-3,8,2,11,-1,12,2,West
1,1,1,0,0,8,10,12,-1,-2,-2,5,3,10,0,12,1,West
1,1,1,1,0,4,5,9,-1,-6,-3,2,2,5,0,8,0,West
1,1,1,0,0,14,12,14,-1,-2,-2,11,3,11,1,13,0,West
1,1,1,0,0,10,16,16,-1,-3,-2,9,1,13,3,12,3,West
1,1,1,0,0,0,10,0,-1,-8,-2,-6,-2,7,3,-2,-2,West
1,1,1,0,0,0,7,0,-1,-7,-2,-5,-2,6,1,-1,-2,West
