@relation pacman-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute score numeric
@attribute class {West,East,South,North,Stop}
@attribute scoreNext numeric

@data
9,7,1,1,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,11,0,0,0,-1,508,East,507
10,8,1,0,1,1,False,False,True,False,1,1,3,1,16,4,7,1,0,0,10,0,0,0,-1,500,West,499
9,8,1,1,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,12,0,0,0,-1,499,East,498
10,9,1,1,1,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,13,0,0,0,-1,491,North,490
10,11,1,1,0,1,False,False,True,False,1,1,3,1,18,3,7,1,0,0,16,0,0,0,-1,475,West,474
9,11,1,1,0,0,False,False,True,False,1,1,3,1,18,6,7,1,0,0,14,0,0,0,-1,467,West,466
7,11,1,1,0,0,False,False,True,False,1,1,3,1,18,5,7,1,0,0,17,0,0,0,-1,459,West,458
7,11,1,1,0,0,False,False,True,False,1,1,3,1,18,6,7,1,0,0,16,0,0,0,-1,451,West,450
6,11,1,1,0,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,19,0,0,0,-1,443,West,442
6,10,1,0,1,1,False,False,True,False,1,1,3,1,18,5,7,1,0,0,17,0,0,0,-1,435,South,434
6,9,1,1,1,1,False,False,True,False,1,1,3,1,18,6,7,1,0,0,15,0,0,0,-1,434,East,433
9,8,1,1,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,12,0,0,0,-1,426,East,425
10,6,1,0,1,1,False,False,True,False,1,1,3,1,15,3,7,1,0,0,8,0,0,0,-1,418,North,417
7,9,1,1,0,1,False,False,True,False,1,1,3,1,13,4,7,1,0,0,11,0,0,0,-1,410,East,409
7,8,1,1,1,1,False,False,True,False,1,1,3,1,14,3,7,1,0,0,12,0,0,0,-1,402,South,401
10,5,1,1,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,8,0,0,0,-1,394,West,393
9,5,1,1,1,1,False,False,True,False,1,1,3,1,15,3,7,1,0,0,8,0,0,0,-1,393,East,392
10,5,1,1,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,8,0,0,0,-1,392,East,391
9,8,1,1,1,1,False,False,True,False,1,1,3,1,14,5,7,1,0,0,8,0,0,0,-1,384,West,383
8,8,1,1,1,1,False,False,True,False,1,1,3,1,14,5,7,1,0,0,9,0,0,0,-1,383,East,382
9,8,1,1,1,1,False,False,True,False,1,1,3,1,14,4,7,1,0,0,9,0,0,0,-1,382,East,381
8,9,1,1,0,1,False,False,True,False,1,1,3,1,14,7,7,1,0,0,8,0,0,0,-1,374,East,373
9,5,1,1,1,1,False,False,True,False,1,1,3,1,13,5,7,1,0,0,4,0,0,0,-1,358,South,357
