@relation 'pacman-data-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,28-weka.filters.unsupervised.attribute.Remove-R1-2,11-18-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C14-L2'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute score numeric
@attribute class {West,East,South,North,Stop}
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute scoreNext numeric

@data
1,1,1,1,False,False,True,True,0,0,8,15,0,0,11,298,East,-7,-4,-5,-4,5,3,8,6,297
1,1,1,1,False,False,True,True,0,0,8,15,0,0,10,297,East,-8,-4,-6,-4,5,3,8,6,296
1,1,1,1,False,False,True,True,0,0,7,13,0,0,9,296,East,-9,-4,-7,-4,4,3,8,6,295
1,0,1,0,False,False,True,True,0,0,6,8,0,0,10,288,North,-10,-2,-8,-2,1,5,3,5,287
1,1,1,1,False,False,True,True,0,0,3,7,0,0,5,280,North,-13,-4,-11,-4,0,3,3,3,279
1,1,0,1,False,False,True,True,0,0,2,6,0,0,-1,372,Stop,-13,-10,-11,-10,0,-2,3,-4,371
1,1,0,0,False,False,True,True,0,0,5,7,0,0,-1,364,Stop,-12,-10,-10,-10,1,-4,4,-4,363
1,1,0,0,False,False,True,True,0,0,8,3,0,0,-1,356,Stop,-14,-10,-12,-10,2,-6,0,-2,355
1,1,0,0,False,False,True,False,0,0,11,0,0,0,-1,548,Stop,-12,-10,-10,-10,5,-6,-6,-10,547
1,1,0,1,False,False,True,False,0,0,11,0,0,0,-1,540,West,-9,-10,-7,-10,5,-6,-3,-10,539
1,1,0,0,False,False,True,False,0,0,13,0,0,0,-1,532,West,-7,-10,-5,-10,6,-7,-1,-10,531
1,1,0,1,False,False,True,False,0,0,19,0,0,0,-1,524,South,-3,-8,-1,-8,13,-6,3,-8,523
1,1,1,1,False,False,True,False,0,0,17,0,0,0,-1,523,East,-3,-7,-1,-7,13,-4,3,-7,522
1,1,1,1,False,False,True,False,0,0,17,0,0,0,-1,522,East,-4,-7,-2,-7,12,-5,2,-7,521
1,1,1,1,False,False,True,False,0,0,17,0,0,0,-1,521,East,-5,-7,-3,-7,12,-5,1,-7,520
1,1,1,1,False,False,True,False,0,0,16,0,0,0,-1,520,East,-6,-7,-4,-7,11,-5,0,-7,519
1,1,1,1,False,False,True,False,0,0,14,0,0,0,-1,519,East,-7,-7,-5,-7,9,-5,-1,-7,518
1,1,1,1,False,False,True,False,0,0,13,0,0,0,-1,518,East,-8,-7,-6,-7,8,-5,-2,-7,517
1,1,1,0,False,False,True,False,0,0,12,0,0,0,-1,510,East,-6,-6,-4,-6,8,-4,0,-6,509
1,1,1,1,False,False,True,False,0,0,12,0,0,0,-1,509,East,-7,-6,-5,-6,8,-4,-1,-6,508
1,1,1,1,False,False,True,False,0,0,11,0,0,0,-1,508,East,-8,-6,-6,-6,7,-4,-2,-6,507
1,0,1,1,False,False,True,False,0,0,10,0,0,0,-1,500,West,-9,-7,-7,-7,6,-4,-3,-7,499
1,1,1,1,False,False,True,False,0,0,12,0,0,0,-1,499,East,-8,-7,-6,-7,7,-5,-2,-7,498
1,1,1,1,False,False,True,False,0,0,13,0,0,0,-1,491,North,-9,-8,-7,-8,8,-5,-3,-8,490
1,1,0,1,False,False,True,False,0,0,14,0,0,0,-1,483,Stop,-9,-10,-7,-10,8,-6,-3,-10,482
1,1,0,1,False,False,True,False,0,0,16,0,0,0,-1,475,West,-9,-10,-7,-10,8,-8,-3,-10,474
1,1,0,0,False,False,True,False,0,0,14,0,0,0,-1,467,West,-8,-10,-6,-10,9,-5,-2,-10,466
1,1,0,0,False,False,True,False,0,0,17,0,0,0,-1,459,West,-6,-10,-4,-10,11,-6,0,-10,458
1,1,0,0,False,False,True,False,0,0,16,0,0,0,-1,451,West,-6,-10,-4,-10,11,-5,0,-10,450
1,1,0,1,False,False,True,False,0,0,19,0,0,0,-1,443,West,-5,-10,-3,-10,12,-7,1,-10,442
1,0,1,1,False,False,True,False,0,0,17,0,0,0,-1,435,South,-5,-9,-3,-9,12,-5,1,-9,434
1,1,1,1,False,False,True,False,0,0,15,0,0,0,-1,434,East,-5,-8,-3,-8,12,-3,1,-8,433
1,1,1,1,False,False,True,False,0,0,12,0,0,0,-1,426,East,-8,-7,-6,-7,7,-5,-2,-7,425
1,0,1,1,False,False,True,False,0,0,8,0,0,0,-1,418,North,-9,-5,-7,-5,5,-3,-3,-5,417
1,1,0,1,False,False,True,False,0,0,11,0,0,0,-1,410,East,-6,-8,-4,-8,6,-5,0,-8,409
1,1,1,1,False,False,True,False,0,0,12,0,0,0,-1,402,South,-6,-7,-4,-7,7,-5,0,-7,401
