@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R11-18,20'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute score numeric
@attribute scoreNext numeric

@data
5,12,1,1,1,1,6,0,14,0,386,385
5,11,1,1,1,0,5,0,13,0,385,384
6,11,1,1,1,1,6,0,12,0,384,383
6,10,0,1,1,1,5,0,11,0,383,382
6,9,1,1,1,1,4,0,10,0,382,381
5,9,1,1,0,1,3,0,11,0,381,380
5,8,1,1,1,1,2,0,10,0,380,379
5,7,1,1,1,1,1,0,9,0,379,578
5,6,1,1,1,1,0,0,8,0,578,577
6,6,1,1,1,1,0,0,7,0,577,576
7,6,1,1,1,1,0,0,6,0,576,575
8,6,1,1,1,1,0,0,5,0,575,574
9,6,1,1,1,1,0,0,4,0,574,573
10,6,1,1,1,1,0,0,3,0,573,572
11,6,1,1,1,1,0,0,2,0,572,571
1,6,0,1,0,1,7,7,13,15,0,-1
1,6,0,1,0,1,7,8,13,16,-1,-2
1,6,0,1,0,1,6,8,12,15,-2,-3
2,6,1,1,0,0,6,6,12,15,-3,-4
3,6,1,1,0,0,5,6,11,15,-4,-5
4,6,1,1,0,0,3,6,10,15,-5,-6
5,6,1,1,0,0,3,4,9,13,-6,-7
6,6,1,1,0,0,4,2,7,11,-7,-8
7,6,1,1,0,1,4,1,7,10,-8,191
8,6,1,1,0,0,6,0,6,9,191,190
9,6,1,1,0,0,8,0,4,9,190,189
10,6,1,1,0,0,8,0,3,7,189,188
11,6,1,1,0,0,8,0,3,6,188,187
12,6,1,1,0,0,8,0,3,5,187,186
13,6,1,1,0,0,10,0,5,3,186,185
14,6,1,1,0,1,10,0,6,5,185,184
14,5,0,0,1,1,8,0,6,3,184,183
14,4,1,1,1,1,8,0,4,2,183,182
14,3,1,1,1,0,7,0,3,2,182,181
