@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.Remove-R7-10,23-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C19-L2'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
10,5,1,1,1,1,1,1,3,1,16,3,7,1,0,0,8,0,0,-1,East
9,8,1,1,1,1,1,1,3,1,14,5,7,1,0,0,8,0,0,-1,West
8,8,1,1,1,1,1,1,3,1,14,5,7,1,0,0,9,0,0,-1,East
9,8,1,1,1,1,1,1,3,1,14,4,7,1,0,0,9,0,0,-1,East
8,9,1,1,0,1,1,1,3,1,14,7,7,1,0,0,8,0,0,-1,East
9,5,1,1,1,1,1,1,3,1,13,5,7,1,0,0,4,0,0,-1,South
9,4,1,1,1,1,1,1,3,1,12,5,7,1,0,0,4,0,0,-1,East
10,4,1,1,1,1,1,1,3,1,11,5,7,1,0,0,2,0,0,-1,East
3,11,1,1,0,0,6,5,6,9,8,11,14,6,9,5,5,16,0,12,East
6,10,1,0,1,1,6,5,6,9,8,11,14,6,5,1,3,12,0,8,North
8,11,1,1,0,0,6,5,6,9,5,1,14,6,8,4,0,11,0,7,West
7,11,1,1,0,0,6,5,6,9,5,1,14,6,7,3,0,12,0,8,West
9,11,1,1,0,0,6,5,6,9,5,1,14,6,9,5,0,10,0,6,East
7,11,1,1,0,0,6,5,6,9,5,1,14,6,7,3,0,12,0,8,West
6,11,1,1,0,1,6,5,6,9,5,1,14,6,6,2,0,13,0,9,South
5,10,0,1,1,1,6,5,6,9,5,1,14,6,6,2,0,13,0,9,East
5,10,0,1,1,1,6,5,6,9,5,1,14,6,6,2,0,13,0,9,South
5,9,1,1,1,1,6,5,6,9,5,1,14,6,5,1,0,12,0,8,East
6,9,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,South
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
2,8,1,1,1,1,6,5,3,1,5,1,14,6,7,0,0,14,0,10,West
2,9,1,1,0,1,6,5,3,1,5,1,14,6,8,0,0,15,0,11,West
3,7,1,1,1,0,6,5,3,1,5,1,14,6,5,0,0,12,0,8,West
3,8,1,1,1,1,6,5,3,1,5,1,14,6,6,0,0,13,0,9,West
2,8,1,1,1,1,6,5,3,1,5,1,14,6,7,0,0,14,0,10,East
3,8,1,1,1,1,6,5,3,1,5,1,14,6,6,0,0,13,0,9,East
4,8,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,East
5,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,East
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
5,7,1,1,1,0,6,5,3,1,5,1,14,6,3,0,0,10,0,6,East
7,7,1,1,1,0,6,5,3,1,5,1,14,6,3,0,0,8,0,4,West
6,10,1,0,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,South
6,9,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,South
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
7,7,1,1,1,0,6,5,3,1,5,1,14,6,3,0,0,8,0,4,East
8,7,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,7,0,3,West
8,8,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,8,0,4,West
7,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,9,0,5,West
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
7,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,9,0,5,West
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
8,7,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,7,0,3,North
8,8,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,8,0,4,West
7,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,9,0,5,West
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
5,7,1,1,1,0,6,5,3,1,5,1,14,6,3,0,0,10,0,6,West
2,7,1,1,1,0,6,5,3,1,5,1,14,6,6,0,0,13,0,9,East
3,7,1,1,1,0,6,5,3,1,5,1,14,6,5,0,0,12,0,8,North
3,8,1,1,1,1,6,5,3,1,5,1,14,6,6,0,0,13,0,9,East
4,8,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,East
5,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,East
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
5,9,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,East
6,9,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,South
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
6,7,1,1,1,0,6,5,3,1,5,1,14,6,2,0,0,9,0,5,East
6,10,1,0,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,South
6,9,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,South
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
4,8,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,South
3,9,1,1,0,1,6,5,3,1,5,1,14,6,7,0,0,14,0,10,South
3,8,1,1,1,1,6,5,3,1,5,1,14,6,6,0,0,13,0,9,East
4,8,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,East
5,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,East
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
6,7,1,1,1,0,6,5,3,1,5,1,14,6,2,0,0,9,0,5,West
7,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,9,0,5,West
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
6,9,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,East
5,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,East
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
3,8,1,1,1,1,6,5,3,1,5,1,14,6,6,0,0,13,0,9,South
3,7,1,1,1,0,6,5,3,1,5,1,14,6,5,0,0,12,0,8,East
5,9,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,South
5,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,East
