@relation pacman-data
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @attribute LegalWest {0,1}
    @attribute LegalEast {0,1}
    @attribute LegalNorth {0,1}
    @attribute LegalSouth {0,1}
    @attribute distGUno numeric
    @attribute distGDos numeric
    @attribute distGTres numeric
    @attribute distGCuatro numeric
    @attribute posxrelGUno numeric
    @attribute posyrelGUno numeric
    @attribute posxrelGDos numeric
    @attribute posyrelGDos numeric
    @attribute posxrelGTres numeric
    @attribute posyrelGTres numeric
    @attribute posxrelGCuatro numeric
    @attribute posyrelGCuatro numeric
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}
    @ATTRIBUTE scoreNext NUMERIC
@data
10,10,0,1,1,1,9,5,0,8,-4,-5,-4,-1,-5,-9,4,-4,188,South,187
10,9,1,1,1,1,8,4,0,7,-4,-4,-4,0,-5,-8,4,-3,187,West,186
9,9,1,1,0,1,7,3,0,8,-3,-4,-3,0,-4,-8,5,-3,186,West,185
8,9,1,1,0,1,6,2,0,9,-2,-4,-2,0,-3,-8,6,-3,185,West,184
7,9,1,1,0,1,5,1,0,10,-1,-4,-1,0,-2,-8,7,-3,184,West,383
6,9,1,1,1,1,4,0,0,11,0,-4,-3,-8,-1,-8,8,-3,383,South,382
6,8,1,1,1,1,3,0,0,10,0,-3,-3,-7,-1,-7,8,-2,382,East,381
7,8,1,1,1,1,4,0,0,9,-1,-3,-4,-7,-2,-7,7,-2,381,East,380
8,8,1,1,1,1,5,0,0,8,-2,-3,-5,-7,-3,-7,6,-2,380,South,379
8,7,1,1,1,1,4,0,0,7,-2,-2,-5,-6,-3,-6,6,-1,379,South,378
8,6,0,1,1,1,3,0,0,6,-2,-1,-5,-5,-3,-5,6,0,378,South,377
8,5,1,1,1,1,2,0,0,7,-2,0,-5,-4,-3,-4,6,1,377,West,376
7,5,1,1,0,1,1,0,0,8,-1,0,-4,-4,-2,-4,7,1,376,West,575
6,5,1,1,0,1,0,0,0,9,-5,-4,-3,-4,-1,-4,8,1,575,East,574
7,5,1,1,0,1,0,0,0,8,-6,-4,-4,-4,-2,-4,7,1,574,East,573
8,5,1,1,1,1,0,0,0,7,-7,-4,-5,-4,-3,-4,6,1,573,East,572
9,5,1,1,1,1,0,0,0,6,-8,-4,-6,-4,-4,-4,5,1,572,East,571
10,5,1,1,1,1,0,0,0,5,-9,-4,-7,-4,-5,-4,4,1,571,North,670
10,6,1,0,1,1,0,0,0,4,-9,-5,-7,-5,-5,-5,4,0,670,South,669
