@relation pacman-data
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @attribute LegalWest {0,1}
    @attribute LegalEast {0,1}
    @attribute LegalNorth {0,1}
    @attribute LegalSouth {0,1}
    @attribute distGUno numeric
    @attribute distGDos numeric
    @attribute distGTres numeric
    @attribute distGCuatro numeric
    @attribute posxrelGUno numeric
    @attribute posyrelGUno numeric
    @attribute posxrelGDos numeric
    @attribute posyrelGDos numeric
    @attribute posxrelGTres numeric
    @attribute posyrelGTres numeric
    @attribute posxrelGCuatro numeric
    @attribute posyrelGCuatro numeric
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}
    @ATTRIBUTE scoreNext NUMERIC
@data
2,11,1,1,0,0,10,6,6,17,4,-6,4,-2,6,0,12,-5,-4,East,-5
3,11,1,1,0,0,9,5,5,16,3,-6,3,-2,5,0,11,-5,-5,East,-6
4,11,1,1,0,0,8,4,4,15,2,-6,2,-2,4,0,10,-5,-6,East,-7
5,11,1,1,0,1,7,3,3,14,1,-6,1,-2,3,0,9,-5,-7,East,-8
6,11,1,1,0,1,6,2,2,13,0,-6,0,-2,2,0,8,-5,-8,South,-9
6,10,1,0,1,1,5,1,3,12,0,-5,0,-1,2,1,8,-4,-9,South,190
6,9,1,1,1,1,4,0,4,11,0,-4,-3,-8,2,2,8,-3,190,North,189
6,10,1,0,1,1,5,0,3,12,0,-5,-3,-9,2,1,8,-4,189,North,188
6,11,1,1,0,1,6,0,2,13,0,-6,-3,-10,2,0,8,-5,188,East,187
7,11,1,1,0,0,7,0,1,12,-1,-6,-4,-10,1,0,7,-5,187,East,386
8,11,1,1,0,0,8,0,0,11,-2,-6,-5,-10,-3,-10,6,-5,386,East,385
9,11,1,1,0,0,9,0,0,10,-3,-6,-6,-10,-4,-10,5,-5,385,East,384
10,11,1,1,0,1,10,0,0,9,-4,-6,-7,-10,-5,-10,4,-5,384,South,383
10,10,0,1,1,1,9,0,0,8,-4,-5,-7,-9,-5,-9,4,-4,383,South,382
10,9,1,1,1,1,8,0,0,7,-4,-4,-7,-8,-5,-8,4,-3,382,South,381
10,8,1,0,1,1,7,0,0,6,-4,-3,-7,-7,-5,-7,4,-2,381,South,380
10,7,1,0,1,1,6,0,0,5,-4,-2,-7,-6,-5,-6,4,-1,380,South,479
10,6,1,0,1,1,5,0,0,4,-4,-1,-7,-5,-5,-5,4,0,479,South,478
10,5,1,1,1,1,4,0,0,5,-4,0,-7,-4,-5,-4,4,1,478,West,477
9,5,1,1,1,1,3,0,0,6,-3,0,-6,-4,-4,-4,5,1,477,West,476
8,5,1,1,1,1,2,0,0,7,-2,0,-5,-4,-3,-4,6,1,476,West,475
7,5,1,1,0,1,1,0,0,8,-1,0,-4,-4,-2,-4,7,1,475,West,674
6,5,1,1,0,1,0,0,0,9,-5,-4,-3,-4,-1,-4,8,1,674,East,673
7,5,1,1,0,1,0,0,0,8,-6,-4,-4,-4,-2,-4,7,1,673,East,672
8,5,1,1,1,1,0,0,0,7,-7,-4,-5,-4,-3,-4,6,1,672,East,671
9,5,1,1,1,1,0,0,0,6,-8,-4,-6,-4,-4,-4,5,1,671,East,670
10,5,1,1,1,1,0,0,0,5,-9,-4,-7,-4,-5,-4,4,1,670,East,669
11,5,1,1,0,1,0,0,0,4,-10,-4,-8,-4,-6,-4,3,1,669,East,668
12,5,1,1,0,0,0,0,0,3,-11,-4,-9,-4,-7,-4,2,1,668,East,667
13,5,1,1,0,1,0,0,0,2,-12,-4,-10,-4,-8,-4,1,1,667,East,666
1,11,0,1,0,1,11,7,7,18,5,-6,5,-2,7,0,13,-5,0,Stop,-1
1,11,0,1,0,1,12,6,8,19,5,-7,5,-1,8,0,13,-5,-1,Stop,-2
1,11,0,1,0,1,11,7,9,20,4,-7,5,-2,9,0,13,-6,-2,Stop,-3
1,11,0,1,0,1,10,8,9,20,4,-6,5,-3,9,0,13,-7,-3,East,-4
2,11,1,1,0,0,8,6,9,18,2,-6,4,-2,9,0,12,-7,-4,East,-5
3,11,1,1,0,0,7,5,8,16,1,-6,3,-2,8,0,11,-6,-5,East,-6
4,11,1,1,0,0,7,3,8,16,1,-6,2,-1,7,-1,10,-5,-6,East,-7
5,11,1,1,0,1,7,2,6,14,1,-6,1,-1,5,-1,9,-6,-7,South,-8
5,10,0,1,1,1,6,2,6,13,1,-5,1,-1,5,-1,8,-5,-8,South,-9
5,9,1,1,1,1,5,1,6,12,1,-4,1,0,5,-1,8,-4,-9,East,190
6,9,1,1,1,1,5,0,4,11,0,-5,-3,-8,4,0,7,-4,190,East,189
7,9,1,1,0,1,7,0,4,9,-2,-5,-4,-8,3,-1,6,-4,189,East,188
8,9,1,1,0,1,8,0,2,8,-3,-5,-5,-8,1,-1,4,-4,188,East,187
9,9,1,1,0,1,9,0,1,6,-4,-5,-6,-8,0,-1,3,-4,187,East,186
10,9,1,1,1,1,10,0,3,4,-5,-5,-7,-8,-2,-1,1,-4,186,South,185
10,8,1,0,1,1,8,0,3,3,-4,-4,-7,-7,-2,-1,0,-3,185,South,184
10,7,1,0,1,1,7,0,3,1,-4,-3,-7,-6,-2,1,0,-2,184,South,483
10,6,1,0,1,1,7,0,3,0,-4,-3,-7,-5,-1,2,-3,-5,483,South,482
10,5,1,1,1,1,5,0,3,0,-3,-2,-7,-4,-1,2,-3,-4,482,South,481
10,4,1,1,1,1,3,0,4,0,-2,-1,-7,-3,-1,3,-3,-3,481,North,480
10,5,1,1,1,1,3,0,4,0,-2,-1,-7,-4,-2,2,-3,-4,480,North,479
10,6,1,0,1,1,5,0,2,0,-3,-2,-7,-5,-1,1,-3,-5,479,West,478
9,6,1,1,1,1,3,0,2,0,-2,-1,-6,-5,1,1,-2,-5,478,West,477
8,6,0,1,1,1,2,0,3,0,-1,-1,-5,-5,2,1,-1,-5,477,North,476
8,7,1,1,1,1,3,0,2,0,-1,-2,-5,-6,2,0,-1,-6,476,East,475
9,7,1,1,1,1,3,0,1,0,-1,-2,-6,-6,1,0,-2,-6,475,East,674
10,7,1,0,1,1,3,0,0,0,-1,-2,-7,-6,-5,-6,-3,-6,674,South,673
1,11,0,1,0,1,11,7,7,18,5,-6,5,-2,7,0,13,-5,0,Stop,-1
1,11,0,1,0,1,11,6,6,18,5,-6,4,-2,6,0,13,-5,-1,Stop,-2
1,11,0,1,0,1,10,5,7,18,4,-6,4,-1,7,0,13,-5,-2,Stop,-3
1,11,0,1,0,1,11,6,8,19,5,-6,5,-1,8,0,13,-5,-3,East,-4
2,11,1,1,0,0,11,5,8,17,5,-6,4,-1,8,0,12,-6,-4,East,-5
3,11,1,1,0,0,11,4,8,17,4,-7,3,-1,8,0,10,-6,-5,East,-6
4,11,1,1,0,0,11,2,6,15,4,-7,2,0,6,0,9,-7,-6,East,-7
5,11,1,1,0,1,11,2,6,14,3,-8,1,-1,6,0,8,-6,-7,East,-8
6,11,1,1,0,1,10,2,6,12,2,-8,-1,-1,6,0,7,-6,-8,East,-9
7,11,1,1,0,0,8,4,6,10,0,-8,-2,-2,6,0,5,-6,-9,East,-10
8,11,1,1,0,0,9,4,4,9,-1,-8,-3,-1,4,0,3,-6,-10,West,-11
7,11,1,1,0,0,7,2,4,10,0,-7,-1,-1,4,0,4,-6,-11,West,188
6,11,1,1,0,1,9,0,4,10,2,-7,-3,-10,4,0,5,-6,188,South,187
6,10,1,0,1,1,7,0,5,10,1,-6,-3,-9,4,1,4,-5,187,South,186
6,9,1,1,1,1,5,0,6,10,1,-4,-3,-8,4,2,5,-4,186,East,185
7,9,1,1,0,1,5,0,5,10,-1,-4,-4,-8,3,2,4,-5,185,East,184
8,9,1,1,0,1,7,0,3,8,-3,-4,-5,-8,2,1,3,-6,184,East,183
9,9,1,1,0,1,9,0,3,6,-4,-5,-6,-8,1,2,2,-5,183,East,182
10,9,1,1,1,1,9,0,3,4,-5,-4,-7,-8,-1,2,1,-4,182,North,181
10,10,0,1,1,1,9,0,3,6,-4,-5,-7,-9,-2,1,0,-5,181,North,180
10,11,1,1,0,1,9,0,3,7,-3,-6,-7,-10,-3,0,1,-6,180,West,179
9,11,1,1,0,0,9,0,3,9,-2,-7,-6,-10,-3,0,2,-6,179,West,178
8,11,1,1,0,0,7,0,2,10,-1,-6,-5,-10,-2,0,3,-7,178,West,177
7,11,1,1,0,0,6,0,2,10,0,-6,-4,-10,-2,0,4,-7,177,West,176
6,11,1,1,0,1,7,0,2,10,1,-6,-3,-10,-1,-1,4,-7,176,South,175
6,10,1,0,1,1,6,0,2,8,1,-5,-3,-9,-1,1,4,-5,175,West,374
5,10,0,1,1,1,6,0,0,8,1,-5,-2,-9,0,-9,5,-4,374,Stop,373
5,10,0,1,1,1,6,0,0,7,1,-5,-2,-9,0,-9,4,-4,373,North,372
5,11,1,1,0,1,6,0,0,7,0,-6,-2,-10,0,-10,4,-4,372,South,371
5,10,0,1,1,1,6,0,0,5,1,-5,-2,-9,0,-9,4,-2,371,South,370
5,9,1,1,1,1,5,0,0,5,1,-4,-2,-8,0,-8,4,0,370,East,369
6,9,1,1,1,1,5,0,0,4,1,-4,-3,-8,-1,-8,4,0,369,East,368
7,9,1,1,0,1,5,0,0,4,-1,-4,-4,-8,-2,-8,3,0,368,East,367
8,9,1,1,0,1,7,0,0,4,-3,-4,-5,-8,-3,-8,2,1,367,East,366
9,9,1,1,0,1,9,0,0,2,-4,-5,-6,-8,-4,-8,2,1,366,East,365
10,9,1,1,1,1,11,0,0,1,-5,-6,-7,-8,-5,-8,1,0,365,East,564
11,9,1,1,1,0,13,0,0,0,-7,-6,-8,-8,-6,-8,-4,-8,564,East,563
12,9,1,1,0,1,13,0,0,0,-7,-6,-9,-8,-7,-8,-5,-8,563,West,562
11,9,1,1,1,0,13,0,0,0,-7,-6,-8,-8,-6,-8,-4,-8,562,West,561
10,9,1,1,1,1,12,0,0,0,-6,-6,-7,-8,-5,-8,-3,-8,561,South,560
10,8,1,0,1,1,10,0,0,0,-6,-4,-7,-7,-5,-7,-3,-7,560,South,559
10,7,1,0,1,1,8,0,0,0,-5,-3,-7,-6,-5,-6,-3,-6,559,South,658
10,6,1,0,1,1,6,0,0,0,-4,-2,-7,-5,-5,-5,-3,-5,658,South,657
10,5,1,1,1,1,4,0,0,0,-3,-1,-7,-4,-5,-4,-3,-4,657,West,656
9,5,1,1,1,1,2,0,0,0,-1,-1,-6,-4,-4,-4,-2,-4,656,West,655
8,5,1,1,1,1,2,0,0,0,1,-1,-5,-4,-3,-4,-1,-4,655,South,654
8,4,1,1,1,1,2,0,0,0,1,-1,-5,-3,-3,-3,-1,-3,654,South,653
8,3,1,1,1,0,2,0,0,0,1,1,-5,-2,-3,-2,-1,-2,653,East,652
9,3,1,1,1,0,2,0,0,0,1,1,-6,-2,-4,-2,-2,-2,652,East,651
10,3,1,1,1,0,2,0,0,0,0,2,-7,-2,-5,-2,-3,-2,651,North,650
10,4,1,1,1,1,1,0,0,0,0,1,-7,-3,-5,-3,-3,-3,650,West,649
9,4,1,1,1,1,3,0,0,0,2,1,-6,-3,-4,-3,-2,-3,649,West,648
8,4,1,1,1,1,5,0,0,0,4,1,-5,-3,-3,-3,-1,-3,648,East,647
9,4,1,1,1,1,4,0,0,0,3,1,-6,-3,-4,-3,-2,-3,647,North,646
9,5,1,1,1,1,3,0,0,0,3,0,-6,-4,-4,-4,-2,-4,646,East,645
10,5,1,1,1,1,3,0,0,0,3,0,-7,-4,-5,-4,-3,-4,645,East,644
